iter	Passed	Remaining
246	1603	4889
247	1610	4882
248	1617	4877
249	1623	4870
250	1629	4863
251	1636	4857
252	1642	4850
253	1649	4844
254	1655	4837
255	1662	4831
256	1668	4824
257	1675	4818
258	1682	4813
259	1688	4806
260	1695	4800
261	1701	4793
262	1708	4786
263	1714	4781
264	1721	4774
265	1727	4768
266	1734	4761
267	1740	4754
268	1747	4749
269	1754	4742
270	1760	4735
271	1767	4729
272	1773	4722
273	1780	4716
274	1786	4710
275	1793	4703
276	1799	4696
277	1805	4689
278	1812	4684
279	1818	4677
280	1825	4670
281	1831	4663
282	1838	4656
283	1844	4650
284	1851	4644
285	1857	4637
286	1863	4630
287	1870	4623
288	1876	4617
289	1883	4610
290	1889	4604
291	1896	4597
292	1900	4586
293	1907	4579
294	1913	4572
295	1919	4566
296	1926	4560
297	1933	4553
298	1939	4547
299	1945	4540
300	1952	4533
301	1959	4528
302	1965	4521
303	1972	4515
304	1978	4508
305	1984	4501
306	1991	4496
307	1998	4489
308	2004	4483
309	2011	4476
310	2017	4469
311	2024	4463
312	2030	4456
313	2036	4450
314	2043	4444
315	2050	4437
316	2056	4431
317	2061	4420
318	2067	4413
319	2074	4408
320	2081	4402
321	2087	4395
322	2093	4388
323	2100	4382
324	2106	4375
325	2113	4369
326	2119	4362
327	2122	4348
328	2128	4341
329	2135	4335
330	2141	4328
331	2147	4321
332	2154	4315
333	2161	4309
334	2167	4302
335	2173	4295
336	2180	4289
337	2186	4282
338	2191	4272
339	2197	4265
340	2204	4260
341	2210	4253
342	2217	4247
343	2223	4240
344	2230	4234
345	2236	4228
346	2243	4221
347	2249	4214
348	2256	4208
349	2262	4201
350	2269	4195
351	2275	4189
352	2282	4182
353	2288	4176
354	2296	4172
355	2303	4166
356	2309	4160
357	2316	4153
358	2322	4147
359	2328	4140
360	2335	4134
361	2342	4127
362	2348	4121
363	2355	4114
364	2361	4108
365	2365	4097
366	2371	4091
367	2378	4084
368	2384	4078
369	2391	4071
370	2397	4064
371	2404	4058
372	2410	4051
373	2417	4045
374	2423	4039
375	2429	4032
376	2436	4026
377	2442	4019
378	2449	4013
379	2455	4006
380	2462	3999
381	2468	3993
382	2474	3986
383	2481	3980
384	2486	3971
385	2492	3964
386	2499	3958
387	2509	3959
388	2520	3959
389	2531	3960
390	2538	3953
391	2545	3947
392	2551	3940
393	2557	3934
394	2564	3927
395	2570	3921
396	2577	3914
397	2583	3908
398	2590	3902
399	2597	3896
400	2604	3890
401	2610	3883
402	2617	3877
403	2623	3870
404	2630	3864
405	2636	3857
406	2643	3851
407	2649	3844
408	2654	3836
409	2661	3829
410	2667	3822
411	2674	3816
412	2680	3809
413	2687	3803
414	2693	3796
415	2697	3786
416	2703	3780
