iter	Passed	Remaining
1116	7097	527
1117	7102	520
1118	7107	514
1119	7112	508
1120	7118	501
1121	7123	495
1122	7128	488
1123	7133	482
1124	7138	475
1125	7144	469
1126	7149	463
1127	7154	456
1128	7159	450
1129	7164	443
1130	7169	437
1131	7174	430
1132	7179	424
1133	7185	418
1134	7190	411
1135	7196	405
1136	7201	399
1137	7206	392
1138	7211	386
1139	7216	379
1140	7221	373
1141	7227	367
1142	7232	360
1143	7237	354
1144	7243	347
1145	7248	341
1146	7253	335
1147	7258	328
1148	7263	322
1149	7268	316
1150	7274	309
1151	7279	303
1152	7284	296
1153	7289	290
1154	7294	284
1155	7299	277
1156	7305	271
1157	7310	265
1158	7315	258
1159	7320	252
1160	7325	246
1161	7330	239
1162	7335	233
1163	7341	227
1164	7346	220
1165	7352	214
1166	7357	208
1167	7362	201
1168	7367	195
1169	7373	189
1170	7378	182
1171	7383	176
1172	7389	170
1173	7395	163
1174	7400	157
1175	7406	151
1176	7412	144
1177	7417	138
1178	7425	132
1179	7431	125
1180	7437	119
1181	7444	113
1182	7451	107
1183	7465	100
1184	7473	94
1185	7487	88
1186	7494	82
1187	7508	75
1188	7515	69
1189	7531	63
1190	7541	56
1191	7550	50
1192	7561	44
1193	7568	38
1194	7580	31
1195	7589	25
1196	7602	19
1197	7609	12
1198	7624	6
1199	7632	0
